idx,word,occurrences
420,payment,4
421,playing,4
422,undeniably,4
423,Forward,4
424,daily,4
425,underscores,4
426,Fisher,4
427,bae,4
428,desperate,4
429,mayor,4
430,importance,4
431,schooled,4
432,African,4
433,article,4
434,cities,4
435,improve,4
436,AND,4
437,indicat_„_,4
438,website,4
439,prices,4
440,And,4
441,single,4
442,_„ƒSpatial,4
443,Apartheid_„_,4
444,lie,4
445,stooped,4
446,edge,4
447,latest,4
448,anti_„_,4
449,facts,4
450,density,4
451,Broken,4
452,real,4
453,possible,4
454,disappointed,4
455,Relevant,4
456,scale,4
457,Fund,4
458,run,4
459,broken,4
460,getting,4
461,and_„_,4
462,Still,4
463,rising,4
464,inner,4
465,raising,4
466,Africa,4
467,ur,4
468,agenda,4
469,fabricating,4
470,deserve,4
471,__»è_,4
472,con_„_,4
473,push,4
